device,useragent
firefox,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/65.3
mobile,"Mozilla/5.0 (Linux; Android 7.0; LG-H910 Build/NRD90M) AppleWebKit/533.40 (KHTML, like Gecko) Chrome/49.0.1673.165 Mobile Safari/537.4"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_1_7; like Mac OS X) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/55.0.2413.108 Mobile Safari/600.3"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_8) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/55.0.2545.285 Safari/602"
android,"Mozilla/5.0 (Linux; U; Android 6.0; Nexus 7P Build/MMB29K) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/52.0.2807.224 Mobile Safari/536.4"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/601.4 (KHTML, like Gecko) Chrome/54.0.1675.111 Safari/601.7 Edge/9.64586"
edge,"Mozilla/5.0 (Windows NT 10.3; Win64; x64; en-US) AppleWebKit/601.15 (KHTML, like Gecko) Chrome/55.0.3311.363 Safari/536.1 Edge/9.93344"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64; en-US) AppleWebKit/534.35 (KHTML, like Gecko) Chrome/51.0.3483.342 Safari/600.7 Edge/15.53972"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_4; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/47.0.2095.238 Safari/534"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64; en-US) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/50.0.2039.319 Safari/603.8 Edge/10.66558"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_1_7; like Mac OS X) AppleWebKit/536.35 (KHTML, like Gecko) Chrome/49.0.2716.270 Mobile Safari/600.5"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_1; like Mac OS X) AppleWebKit/534.42 (KHTML, like Gecko) Chrome/51.0.1652.132 Mobile Safari/535.3"
firefox,Mozilla/5.0 (Windows NT 10.3; x64; en-US) Gecko/20130401 Firefox/64.8
firefox,Mozilla/5.0 (Linux; U; Linux i683 ) Gecko/20100101 Firefox/50.9
chrome,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/600.10 (KHTML, like Gecko) Chrome/51.0.3885.335 Safari/603"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_6) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/50.0.1775.234 Safari/533"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3; x64; en-US Trident/5.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/7.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_8_3) Gecko/20100101 Firefox/54.9
chrome,"Mozilla/5.0 (Windows NT 10.0; x64; en-US) AppleWebKit/601.24 (KHTML, like Gecko) Chrome/47.0.1546.241 Safari/537"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; GT-I9600 Build/KTU84P) AppleWebKit/600.22 (KHTML, like Gecko) Chrome/47.0.2725.259 Mobile Safari/603.3"
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/53.6
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/51.0.2359.199 Safari/536"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_2; en-US) Gecko/20100101 Firefox/50.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_9; like Mac OS X) AppleWebKit/536.47 (KHTML, like Gecko) Chrome/54.0.2776.319 Mobile Safari/537.5"
windows,"Mozilla/5.0 (Windows NT 6.2; x64; en-US) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/47.0.2851.107 Safari/602"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/66.3
linux,"Mozilla/5.0 (Linux; U; Linux i653 x86_64; en-US) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/51.0.2493.276 Safari/600"
firefox,Mozilla/5.0 (Windows NT 10.2; x64) Gecko/20130401 Firefox/51.3
linux,"Mozilla/5.0 (Linux; U; Linux i664 ; en-US) AppleWebKit/603.50 (KHTML, like Gecko) Chrome/48.0.2947.290 Safari/602"
